n,scenario,run_id,method,noise_sigma,pearson_r,fdr,sca
3,Balanced,0,Equal,,0.000000,,0.918355
3,Balanced,0,Peer,8.0,0.999308,,0.992099
3,Balanced,0,Instructor,12.0,0.529366,,0.973753
3,Balanced,0,CATME,5.0,0.976055,,0.976858
3,Balanced,0,Shapley (clean),0.0,0.999834,,0.946892
3,Balanced,0,Shapley (noisy),4.0,-0.983549,,0.506723
3,Balanced,0,Shapley (noisy),8.0,0.945812,,0.748311
3,Balanced,0,Shapley (noisy),12.0,-0.191695,,0.748311
3,Balanced,0,Shapley (noisy),16.0,0.000000,,0.918355
3,Balanced,0,Shapley (noisy),20.0,0.000000,,0.918355
3,Balanced,1,Equal,,0.000000,,0.890774
3,Balanced,1,Peer,8.0,0.996448,,0.963805
3,Balanced,1,Instructor,12.0,0.993675,,0.954212
3,Balanced,1,CATME,5.0,0.985930,,0.992242
3,Balanced,1,Shapley (clean),0.0,0.997609,,0.944441
3,Balanced,1,Shapley (noisy),4.0,0.764969,,0.442559
3,Balanced,1,Shapley (noisy),8.0,-0.163452,,0.773580
3,Balanced,1,Shapley (noisy),12.0,-0.764969,,0.775892
3,Balanced,1,Shapley (noisy),16.0,0.000000,,0.890774
3,Balanced,1,Shapley (noisy),20.0,0.000000,,0.890774
3,Balanced,2,Equal,,0.000000,,0.909291
3,Balanced,2,Peer,8.0,0.925126,,0.974121
3,Balanced,2,Instructor,12.0,0.892893,,0.926786
3,Balanced,2,CATME,5.0,0.995074,,0.999673
3,Balanced,2,Shapley (clean),0.0,0.999705,,0.947572
3,Balanced,2,Shapley (noisy),4.0,0.101206,,0.424043
3,Balanced,2,Shapley (noisy),8.0,-0.912182,,0.424043
3,Balanced,2,Shapley (noisy),12.0,0.000000,,0.909291
3,Balanced,2,Shapley (noisy),16.0,0.810976,,0.424043
3,Balanced,2,Shapley (noisy),20.0,0.810976,,0.424043
3,Balanced,3,Equal,,0.000000,,0.880050
3,Balanced,3,Peer,8.0,0.999911,,0.981967
3,Balanced,3,Instructor,12.0,0.847773,,0.966719
3,Balanced,3,CATME,5.0,0.975658,,0.968707
3,Balanced,3,Shapley (clean),0.0,0.994775,,0.945789
3,Balanced,3,Shapley (noisy),4.0,0.000000,,0.880050
3,Balanced,3,Shapley (noisy),8.0,0.886395,,0.786617
3,Balanced,3,Shapley (noisy),12.0,-0.042289,,0.786617
3,Balanced,3,Shapley (noisy),16.0,0.886395,,0.786617
3,Balanced,3,Shapley (noisy),20.0,0.042289,,0.453283
3,Balanced,4,Equal,,0.000000,,0.850681
3,Balanced,4,Peer,8.0,0.957876,,0.969411
3,Balanced,4,Instructor,12.0,0.981569,,0.986422
3,Balanced,4,CATME,5.0,0.994464,,0.974137
