n,scenario,run_id,method,pearson_r,fdr,sca
3,Balanced,0,Equal,0.000000,,0.918355
3,Balanced,0,Peer,0.999308,,0.992099
3,Balanced,0,Instructor,0.529366,,0.973753
3,Balanced,0,CATME,0.976055,,0.976858
3,Balanced,0,Shapley,0.999834,,0.946892
3,Balanced,1,Equal,0.000000,,0.848617
3,Balanced,1,Peer,0.955711,,0.988126
3,Balanced,1,Instructor,0.992526,,0.959947
3,Balanced,1,CATME,1.000000,,0.991243
3,Balanced,1,Shapley,0.990092,,0.933701
3,Balanced,2,Equal,0.000000,,0.849426
3,Balanced,2,Peer,0.908951,,0.983163
3,Balanced,2,Instructor,0.991122,,0.986192
3,Balanced,2,CATME,0.997470,,0.975645
3,Balanced,2,Shapley,0.999737,,0.956554
3,Balanced,3,Equal,0.000000,,0.837713
3,Balanced,3,Peer,0.987621,,0.945609
3,Balanced,3,Instructor,0.993540,,0.988175
3,Balanced,3,CATME,0.993175,,0.996137
3,Balanced,3,Shapley,0.985917,,0.932951
3,Balanced,4,Equal,0.000000,,0.766748
3,Balanced,4,Peer,0.988923,,0.953609
3,Balanced,4,Instructor,0.999852,,0.963055
3,Balanced,4,CATME,0.969030,,0.924110
3,Balanced,4,Shapley,0.973552,,0.923012
3,Balanced,5,Equal,0.000000,,0.907040
3,Balanced,5,Peer,0.429321,,0.936864
3,Balanced,5,Instructor,0.999974,,0.952581
3,Balanced,5,CATME,0.969544,,0.994969
3,Balanced,5,Shapley,0.999620,,0.946840
3,Balanced,6,Equal,0.000000,,0.919635
3,Balanced,6,Peer,0.453527,,0.961871
3,Balanced,6,Instructor,0.949364,,0.962227
3,Balanced,6,CATME,0.995698,,0.972416
3,Balanced,6,Shapley,0.999912,,0.951855
3,Balanced,7,Equal,0.000000,,0.970738
3,Balanced,7,Peer,0.966405,,0.982091
3,Balanced,7,Instructor,0.302333,,0.988863
3,Balanced,7,CATME,0.997704,,0.986010
3,Balanced,7,Shapley,1.000000,,0.981796
3,Balanced,8,Equal,0.000000,,0.914184
3,Balanced,8,Peer,0.999452,,0.982349
3,Balanced,8,Instructor,0.995159,,0.991207
3,Balanced,8,CATME,0.691232,,0.972139
3,Balanced,8,Shapley,0.999688,,0.953720
3,Balanced,9,Equal,0.000000,,0.925806
3,Balanced,9,Peer,0.961198,,0.953563
3,Balanced,9,Instructor,0.901101,,0.991944
3,Balanced,9,CATME,0.854080,,0.987227
3,Balanced,9,Shapley,0.998792,,0.948863
3,Balanced,10,Equal,0.000000,,0.843582
3,Balanced,10,Peer,0.979240,,0.960945
3,Balanced,10,Instructor,0.889629,,0.942447
3,Balanced,10,CATME,0.998210,,0.992521
3,Balanced,10,Shapley,0.985952,,0.937898
3,Balanced,11,Equal,0.000000,,0.942093
3,Balanced,11,Peer,0.993606,,0.998358
3,Balanced,11,Instructor,0.412209,,0.909586
3,Balanced,11,CATME,0.994490,,0.980418
3,Balanced,11,Shapley,1.000000,,0.956281
3,Balanced,12,Equal,0.000000,0.000000,0.750209
3,Balanced,12,Peer,0.999846,1.000000,0.883101
3,Balanced,12,Instructor,0.999544,1.000000,0.989193
3,Balanced,12,CATME,0.929223,1.000000,0.952479
3,Balanced,12,Shapley,0.963838,1.000000,0.909392
3,Balanced,13,Equal,0.000000,,0.879263
3,Balanced,13,Peer,0.932543,,0.981875
3,Balanced,13,Instructor,0.942950,,0.977352
3,Balanced,13,CATME,0.994993,,0.982477
3,Balanced,13,Shapley,0.999338,,0.956285
3,Balanced,14,Equal,0.000000,,0.987128
3,Balanced,14,Peer,0.167945,,0.990046
3,Balanced,14,Instructor,0.998010,,0.929829
3,Balanced,14,CATME,0.439445,,0.987728
3,Balanced,14,Shapley,0.999623,,0.991176
3,Balanced,15,Equal,0.000000,,0.868243
3,Balanced,15,Peer,0.973835,,0.969626
3,Balanced,15,Instructor,0.898989,,0.952012
3,Balanced,15,CATME,0.996394,,0.990035
3,Balanced,15,Shapley,0.993505,,0.939706
3,Balanced,16,Equal,0.000000,,0.914138
3,Balanced,16,Peer,0.998020,,0.997882
3,Balanced,16,Instructor,0.940577,,0.938158
3,Balanced,16,CATME,0.999054,,0.980837
3,Balanced,16,Shapley,0.999360,,0.943444
3,Balanced,17,Equal,0.000000,,0.797484
3,Balanced,17,Peer,0.943020,,0.976349
3,Balanced,17,Instructor,0.999451,,0.941554
3,Balanced,17,CATME,0.981773,,0.976848
3,Balanced,17,Shapley,0.981773,,0.912441
3,Balanced,18,Equal,0.000000,,0.933661
3,Balanced,18,Peer,0.630635,,0.993563
3,Balanced,18,Instructor,0.416190,,0.993251
3,Balanced,18,CATME,1.000000,,0.988640
3,Balanced,18,Shapley,0.999818,,0.952418
3,Balanced,19,Equal,0.000000,,0.970044
3,Balanced,19,Peer,0.723214,,0.960808
3,Balanced,19,Instructor,0.611013,,0.948538
3,Balanced,19,CATME,0.873160,,0.977163
3,Balanced,19,Shapley,0.999654,,0.964572
3,Balanced,20,Equal,0.000000,,0.745051
3,Balanced,20,Peer,0.997076,,0.916435
3,Balanced,20,Instructor,0.980238,,0.960198
3,Balanced,20,CATME,0.962826,,0.910385
3,Balanced,20,Shapley,0.984828,,0.922290
3,Balanced,21,Equal,0.000000,,0.894515
3,Balanced,21,Peer,0.914688,,0.994546
3,Balanced,21,Instructor,-0.595506,,0.938990
3,Balanced,21,CATME,0.872711,,0.996858
3,Balanced,21,Shapley,0.998404,,0.944417
3,Balanced,22,Equal,0.000000,,0.949353
3,Balanced,22,Peer,0.449338,,0.962274
3,Balanced,22,Instructor,0.264114,,0.995151
3,Balanced,22,CATME,0.137827,,0.972130
3,Balanced,22,Shapley,0.998787,,0.964409
3,Balanced,23,Equal,0.000000,,0.828026
3,Balanced,23,Peer,0.940006,,0.976671
3,Balanced,23,Instructor,0.992456,,0.886473
3,Balanced,23,CATME,0.994445,,0.966050
3,Balanced,23,Shapley,0.984241,,0.940255
3,Balanced,24,Equal,0.000000,,0.861847
3,Balanced,24,Peer,0.981419,,0.964491
3,Balanced,24,Instructor,0.999356,,0.959720
3,Balanced,24,CATME,0.997278,,0.961562
3,Balanced,24,Shapley,0.998123,,0.954092
3,Balanced,25,Equal,0.000000,,0.859996
3,Balanced,25,Peer,0.705211,,0.957960
3,Balanced,25,Instructor,0.771868,,0.981771
3,Balanced,25,CATME,0.977066,,0.971263
3,Balanced,25,Shapley,0.999382,,0.956158
3,Balanced,26,Equal,0.000000,,0.961660
3,Balanced,26,Peer,0.990080,,0.987046
3,Balanced,26,Instructor,0.939411,,0.900627
3,Balanced,26,CATME,-0.921382,,0.979948
3,Balanced,26,Shapley,0.995476,,0.965269
3,Balanced,27,Equal,0.000000,,0.871564
3,Balanced,27,Peer,0.997103,,0.959760
3,Balanced,27,Instructor,0.997667,,0.974074
3,Balanced,27,CATME,0.999075,,0.933179
3,Balanced,27,Shapley,0.995859,,0.951134
3,Balanced,28,Equal,0.000000,,0.899850
3,Balanced,28,Peer,0.997663,,0.976700
3,Balanced,28,Instructor,-0.576973,,0.820681
3,Balanced,28,CATME,0.808387,,0.977575
3,Balanced,28,Shapley,0.999512,,0.943686
3,Balanced,29,Equal,0.000000,,0.827755
3,Balanced,29,Peer,0.991167,,0.991115
3,Balanced,29,Instructor,0.870886,,0.965974
3,Balanced,29,CATME,0.999966,,0.983069
3,Balanced,29,Shapley,0.990955,,0.922216
3,Balanced,30,Equal,0.000000,,0.956404
3,Balanced,30,Peer,-0.708164,,0.974271
3,Balanced,30,Instructor,0.182607,,0.977423
3,Balanced,30,CATME,0.996684,,0.990426
3,Balanced,30,Shapley,0.997884,,0.954616
3,Balanced,31,Equal,0.000000,,0.874045
3,Balanced,31,Peer,0.951094,,0.991277
3,Balanced,31,Instructor,0.993957,,0.954685
3,Balanced,31,CATME,0.968136,,0.981424
3,Balanced,31,Shapley,0.994047,,0.947922
3,Balanced,32,Equal,0.000000,,0.953118
3,Balanced,32,Peer,0.312951,,0.975041
3,Balanced,32,Instructor,0.952277,,0.962069
3,Balanced,32,CATME,0.999773,,0.994801
3,Balanced,32,Shapley,0.997628,,0.952180
3,Balanced,33,Equal,0.000000,,0.980462
3,Balanced,33,Peer,0.502735,,0.964059
3,Balanced,33,Instructor,-0.952833,,0.969960
3,Balanced,33,CATME,0.448210,,0.987244
3,Balanced,33,Shapley,0.999860,,0.975765
3,Balanced,34,Equal,0.000000,,0.943115
3,Balanced,34,Peer,-0.375341,,0.982474
